Customer ID,frequency,recency,T,monetary_value,CLV_BGNBD,Units Sold,Children,Income_Avg,Revenue,CLV_XGBoost,CLV_LightGBM,CLV_CatBoost
3,0.0,0.0,274.0,0.0,,6,1,60000.0,29.3,1.1690068,0.915011548208206,0.649049831305927
8,3.0,132.0,222.0,12.116666666666665,9.963974563849533,14,2,60000.0,64.72,10.32536,11.32236607722859,11.049827932928943
9,1.0,40.0,91.0,9.44,5.490733522857728,9,5,20000.0,51.66,5.490485,5.616777070847852,5.1600194232716525
20,2.0,602.0,733.0,23.314999999999998,5.731412351701714,13,2,20000.0,59.269999999999996,5.751658,5.679041615423978,5.864101345499855
24,1.0,92.0,140.0,3.72,2.6081898866752566,6,0,40000.0,8.700000000000001,2.6120775,2.698559235618252,2.5268222259208115
26,2.0,141.0,451.0,13.505,3.678736232868041,9,0,20000.0,34.88,3.7002916,3.8643844377056005,3.64142987567752
28,2.0,612.0,715.0,19.115,4.915710571615904,11,1,20000.0,49.269999999999996,4.9020834,4.965187701284015,4.913199415477025
30,2.0,462.0,662.0,11.765,3.2281776424141624,10,4,60000.0,50.370000000000005,3.190979,3.360892543098434,2.954880533968228
32,0.0,0.0,249.0,0.0,,3,2,20000.0,4.27,0.8065171,0.9866393085334116,0.6147515694530608
36,3.0,135.0,526.0,6.633333333333333,1.653571375578974,17,1,20000.0,35.2,1.632119,1.6347725386120768,1.9005971292316763
39,0.0,0.0,352.0,0.0,,4,4,100000.0,14.28,0.5148248,0.36041678778039105,0.5578018724280751
41,1.0,391.0,460.0,2.48,1.0514643485667499,6,1,120000.0,10.74,1.0562211,1.0963832339260982,1.1187638301696188
42,2.0,167.0,222.0,8.415,5.524477969267676,11,3,80000.0,24.16,5.527879,5.23014748444884,5.322914773459048
43,1.0,401.0,683.0,15.93,2.203473537477568,7,2,60000.0,30.63,2.2519288,2.240418773590087,2.229496502549644
44,4.0,160.0,609.0,19.185,3.136030768860632,22,1,40000.0,82.4,3.126466,3.571675055037411,3.193378197237793
45,1.0,11.0,248.0,4.42,1.3235167416122267,12,5,60000.0,17.09,1.3354039,1.3563464055326517,1.3343684622923035
47,0.0,0.0,151.0,0.0,,4,0,60000.0,5.9,1.7913108,1.724806476797913,1.7245208654118054
48,6.0,170.0,240.0,7.786666666666666,11.565822466053358,27,0,60000.0,60.0,11.573922,12.099141989576733,11.530970449517561
49,2.0,186.0,620.0,12.21,2.3536262146680436,16,4,40000.0,33.71,2.840762,2.338565098810729,2.6692168845819046
52,3.0,195.0,344.0,17.136666666666667,9.919461660511542,17,3,80000.0,59.080000000000005,9.882973,9.69431247756826,9.843003993343194
55,1.0,416.0,543.0,8.45,1.791737489843454,8,3,20000.0,18.22,1.7790847,1.7690911430969603,1.8329000817974626
57,1.0,32.0,308.0,9.66,1.8846914976556457,12,3,20000.0,22.67,1.9833859,2.088621805154089,1.8002855263151911
59,3.0,216.0,311.0,11.973333333333334,8.101639817544658,22,5,40000.0,54.62,8.122273,8.287984667122586,8.301515966137229
