customer_id,transaction_date,amount_spent,signup_date,industry,channel,age,gender,lifecycle_stage
1,2021-04-23,381.89,2020-09-27,Travel,Store,21,Female,Legacy
1,2021-08-15,81.14,2020-09-27,Travel,Store,21,Female,Legacy
1,2021-09-25,299.39,2020-09-27,Travel,Store,21,Female,Legacy
1,2020-12-21,17.42,2020-09-27,Travel,Store,21,Female,Legacy
2,2020-09-14,47.89,2020-07-19,Travel,Store,53,Male,Legacy
2,2021-03-31,153.39,2020-07-19,Travel,Store,53,Male,Legacy
2,2021-02-26,94.75,2020-07-19,Travel,Store,53,Male,Legacy
3,2020-07-26,77.54,2020-04-12,Retail,Web,27,Male,Legacy
3,2020-06-21,57.14,2020-04-12,Retail,Web,27,Male,Legacy
3,2020-06-27,407.13,2020-04-12,Retail,Web,27,Male,Legacy
3,2020-06-04,234.08,2020-04-12,Retail,Web,27,Male,Legacy
3,2021-01-13,18.23,2020-04-12,Retail,Web,27,Male,Legacy
4,2020-11-10,9.22,2020-10-25,E-commerce,Mobile,45,Male,Legacy
4,2020-11-05,70.15,2020-10-25,E-commerce,Mobile,45,Male,Legacy
4,2021-04-08,12.11,2020-10-25,E-commerce,Mobile,45,Male,Legacy
5,2020-04-15,101.94,2020-02-23,E-commerce,Web,23,Male,Legacy
5,2020-06-19,53.2,2020-02-23,E-commerce,Web,23,Male,Legacy
5,2021-02-21,25.97,2020-02-23,E-commerce,Web,23,Male,Legacy
5,2020-07-30,7.28,2020-02-23,E-commerce,Web,23,Male,Legacy
5,2020-07-07,32.72,2020-02-23,E-commerce,Web,23,Male,Legacy
5,2020-05-09,130.82,2020-02-23,E-commerce,Web,23,Male,Legacy
5,2021-01-23,231.35,2020-02-23,E-commerce,Web,23,Male,Legacy
6,2020-09-22,59.35,2020-05-24,Retail,Mobile,44,Female,Legacy
6,2021-01-25,51.28,2020-05-24,Retail,Mobile,44,Female,Legacy
6,2020-11-25,111.26,2020-05-24,Retail,Mobile,44,Female,Legacy
7,2021-06-28,108.19,2020-09-27,SaaS,Mobile,29,Female,Legacy
7,2021-02-08,1.59,2020-09-27,SaaS,Mobile,29,Female,Legacy
8,2021-01-31,124.15,2020-05-10,Travel,Mobile,20,Female,Legacy
8,2021-02-11,65.1,2020-05-10,Travel,Mobile,20,Female,Legacy
8,2020-08-28,139.74,2020-05-10,Travel,Mobile,20,Female,Legacy
8,2021-03-18,14.0,2020-05-10,Travel,Mobile,20,Female,Legacy
8,2020-08-06,1.44,2020-05-10,Travel,Mobile,20,Female,Legacy
8,2020-10-14,2.59,2020-05-10,Travel,Mobile,20,Female,Legacy
9,2020-09-03,115.02,2020-06-07,SaaS,Web,63,Female,Legacy
9,2021-05-17,292.58,2020-06-07,SaaS,Web,63,Female,Legacy
9,2020-08-21,8.99,2020-06-07,SaaS,Web,63,Female,Legacy
9,2021-01-13,112.15,2020-06-07,SaaS,Web,63,Female,Legacy
9,2020-10-23,116.29,2020-06-07,SaaS,Web,63,Female,Legacy
10,2021-02-12,524.79,2020-03-15,E-commerce,Mobile,50,Male,Legacy
10,2020-03-23,32.83,2020-03-15,E-commerce,Mobile,50,Male,Legacy
10,2020-05-24,352.51,2020-03-15,E-commerce,Mobile,50,Male,Legacy
10,2020-06-12,2.09,2020-03-15,E-commerce,Mobile,50,Male,Legacy
10,2020-04-07,118.22,2020-03-15,E-commerce,Mobile,50,Male,Legacy
11,2020-08-28,141.48,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-05-16,511.02,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-11-30,166.63,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-07-13,67.57,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2021-02-23,411.75,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-11-09,125.08,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-06-29,20.61,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-09-10,103.67,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-03-30,159.04,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2021-03-04,273.26,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2021-01-17,413.45,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-10-15,57.28,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-05-30,25.35,2020-03-15,E-commerce,Web,27,Male,Legacy
11,2020-10-25,11.5,2020-03-15,E-commerce,Web,27,Male,Legacy
12,2021-01-27,13.69,2020-06-14,SaaS,Store,48,Male,Legacy
12,2020-06-23,201.37,2020-06-14,SaaS,Store,48,Male,Legacy
12,2020-11-09,77.05,2020-06-14,SaaS,Store,48,Male,Legacy
12,2020-08-10,98.2,2020-06-14,SaaS,Store,48,Male,Legacy
12,2020-11-22,549.19,2020-06-14,SaaS,Store,48,Male,Legacy
12,2021-05-30,63.32,2020-06-14,SaaS,Store,48,Male,Legacy
12,2020-09-28,156.71,2020-06-14,SaaS,Store,48,Male,Legacy
12,2021-03-29,74.76,2020-06-14,SaaS,Store,48,Male,Legacy
12,2020-12-16,337.05,2020-06-14,SaaS,Store,48,Male,Legacy
13,2021-02-05,401.54,2020-09-06,Retail,Mobile,32,Female,Legacy
13,2021-08-27,284.93,2020-09-06,Retail,Mobile,32,Female,Legacy
13,2021-04-10,10.51,2020-09-06,Retail,Mobile,32,Female,Legacy
13,2021-06-29,752.87,2020-09-06,Retail,Mobile,32,Female,Legacy
13,2021-05-03,179.96,2020-09-06,Retail,Mobile,32,Female,Legacy
14,2021-02-12,273.19,2020-10-04,SaaS,Mobile,24,Female,Legacy
15,2020-08-27,132.32,2020-06-14,SaaS,Store,53,Female,Legacy
16,2020-05-31,560.91,2020-01-19,Travel,Store,31,Female,Legacy
16,2020-08-25,100.46,2020-01-19,Travel,Store,31,Female,Legacy
16,2020-04-29,8.91,2020-01-19,Travel,Store,31,Female,Legacy
16,2020-06-06,415.32,2020-01-19,Travel,Store,31,Female,Legacy
17,2021-01-01,183.58,2020-05-31,Travel,Mobile,31,Male,Legacy
17,2021-05-14,75.05,2020-05-31,Travel,Mobile,31,Male,Legacy
17,2021-05-29,47.76,2020-05-31,Travel,Mobile,31,Male,Legacy
17,2020-11-29,0.51,2020-05-31,Travel,Mobile,31,Male,Legacy
18,2020-02-18,113.88,2020-01-12,SaaS,Store,20,Female,Legacy
18,2020-05-31,36.14,2020-01-12,SaaS,Store,20,Female,Legacy
18,2020-04-26,147.24,2020-01-12,SaaS,Store,20,Female,Legacy
18,2020-06-11,107.9,2020-01-12,SaaS,Store,20,Female,Legacy
18,2020-12-28,114.26,2020-01-12,SaaS,Store,20,Female,Legacy
18,2020-12-02,97.54,2020-01-12,SaaS,Store,20,Female,Legacy
19,2021-01-26,76.01,2020-06-14,SaaS,Web,63,Female,Legacy
19,2021-01-31,82.6,2020-06-14,SaaS,Web,63,Female,Legacy
19,2021-04-13,390.54,2020-06-14,SaaS,Web,63,Female,Legacy
19,2021-05-29,36.84,2020-06-14,SaaS,Web,63,Female,Legacy
19,2021-05-14,177.31,2020-06-14,SaaS,Web,63,Female,Legacy
19,2020-10-08,184.29,2020-06-14,SaaS,Web,63,Female,Legacy
19,2021-01-06,383.52,2020-06-14,SaaS,Web,63,Female,Legacy
19,2020-12-15,187.33,2020-06-14,SaaS,Web,63,Female,Legacy
20,2020-12-03,248.0,2020-11-01,E-commerce,Web,20,Male,Legacy
20,2021-05-03,379.37,2020-11-01,E-commerce,Web,20,Male,Legacy
20,2021-04-06,83.66,2020-11-01,E-commerce,Web,20,Male,Legacy
20,2020-12-23,68.13,2020-11-01,E-commerce,Web,20,Male,Legacy
20,2021-08-23,243.09,2020-11-01,E-commerce,Web,20,Male,Legacy
21,2021-03-29,29.34,2020-07-26,Travel,Mobile,39,Male,Legacy
21,2021-01-02,113.92,2020-07-26,Travel,Mobile,39,Male,Legacy
21,2021-01-27,66.06,2020-07-26,Travel,Mobile,39,Male,Legacy
21,2020-12-15,19.89,2020-07-26,Travel,Mobile,39,Male,Legacy
21,2021-05-03,7.68,2020-07-26,Travel,Mobile,39,Male,Legacy
22,2021-06-05,6.67,2020-09-20,Travel,Web,36,Female,Legacy
22,2020-11-13,76.74,2020-09-20,Travel,Web,36,Female,Legacy
23,2020-08-24,299.79,2020-01-12,E-commerce,Web,52,Female,Legacy
23,2020-03-10,50.41,2020-01-12,E-commerce,Web,52,Female,Legacy
23,2020-03-27,143.2,2020-01-12,E-commerce,Web,52,Female,Legacy
23,2020-08-14,580.29,2020-01-12,E-commerce,Web,52,Female,Legacy
23,2020-05-22,135.77,2020-01-12,E-commerce,Web,52,Female,Legacy
24,2020-08-11,25.73,2020-05-24,Retail,Mobile,29,Male,Legacy
24,2020-07-19,108.32,2020-05-24,Retail,Mobile,29,Male,Legacy
24,2021-03-27,136.38,2020-05-24,Retail,Mobile,29,Male,Legacy
24,2020-11-13,91.75,2020-05-24,Retail,Mobile,29,Male,Legacy
25,2021-05-08,32.38,2020-08-16,Travel,Store,22,Female,Legacy
25,2021-01-30,97.25,2020-08-16,Travel,Store,22,Female,Legacy
25,2021-01-07,301.95,2020-08-16,Travel,Store,22,Female,Legacy
25,2021-02-17,3.31,2020-08-16,Travel,Store,22,Female,Legacy
25,2021-08-03,170.71,2020-08-16,Travel,Store,22,Female,Legacy
26,2020-09-20,8.44,2020-03-22,Travel,Mobile,27,Male,Legacy
26,2021-03-07,224.45,2020-03-22,Travel,Mobile,27,Male,Legacy
26,2020-11-18,142.67,2020-03-22,Travel,Mobile,27,Male,Legacy
26,2020-09-30,10.81,2020-03-22,Travel,Mobile,27,Male,Legacy
26,2020-12-18,106.57,2020-03-22,Travel,Mobile,27,Male,Legacy
26,2020-09-02,12.91,2020-03-22,Travel,Mobile,27,Male,Legacy
27,2020-07-26,60.17,2020-05-31,Retail,Web,58,Male,Legacy
27,2020-11-28,115.9,2020-05-31,Retail,Web,58,Male,Legacy
27,2021-02-18,377.51,2020-05-31,Retail,Web,58,Male,Legacy
27,2020-09-13,116.59,2020-05-31,Retail,Web,58,Male,Legacy
27,2020-12-07,183.42,2020-05-31,Retail,Web,58,Male,Legacy
27,2020-10-14,66.4,2020-05-31,Retail,Web,58,Male,Legacy
28,2021-02-03,163.06,2020-11-01,Travel,Mobile,50,Female,Legacy
28,2021-10-03,279.01,2020-11-01,Travel,Mobile,50,Female,Legacy
28,2020-12-27,217.77,2020-11-01,Travel,Mobile,50,Female,Legacy
28,2021-01-06,71.5,2020-11-01,Travel,Mobile,50,Female,Legacy
28,2020-12-16,97.72,2020-11-01,Travel,Mobile,50,Female,Legacy
28,2021-02-02,30.89,2020-11-01,Travel,Mobile,50,Female,Legacy
29,2020-06-28,713.66,2020-06-21,Travel,Mobile,30,Male,Legacy
29,2021-01-08,254.23,2020-06-21,Travel,Mobile,30,Male,Legacy
29,2021-01-23,184.64,2020-06-21,Travel,Mobile,30,Male,Legacy
29,2021-04-08,9.5,2020-06-21,Travel,Mobile,30,Male,Legacy
29,2020-08-09,352.0,2020-06-21,Travel,Mobile,30,Male,Legacy
30,2021-01-23,80.62,2020-07-05,Retail,Web,52,Female,Legacy
30,2020-11-11,53.5,2020-07-05,Retail,Web,52,Female,Legacy
30,2021-04-22,7.46,2020-07-05,Retail,Web,52,Female,Legacy
30,2020-09-06,204.55,2020-07-05,Retail,Web,52,Female,Legacy
30,2021-03-24,205.62,2020-07-05,Retail,Web,52,Female,Legacy
30,2020-11-01,166.63,2020-07-05,Retail,Web,52,Female,Legacy
30,2021-04-08,154.77,2020-07-05,Retail,Web,52,Female,Legacy
30,2021-01-22,41.9,2020-07-05,Retail,Web,52,Female,Legacy
31,2021-05-07,376.49,2020-10-18,Retail,Web,49,Female,Legacy
31,2020-12-21,340.59,2020-10-18,Retail,Web,49,Female,Legacy
31,2020-11-29,378.86,2020-10-18,Retail,Web,49,Female,Legacy
32,2020-08-26,198.87,2020-07-12,SaaS,Mobile,28,Female,Legacy
32,2021-03-28,11.29,2020-07-12,SaaS,Mobile,28,Female,Legacy
32,2021-01-22,338.5,2020-07-12,SaaS,Mobile,28,Female,Legacy
32,2021-06-23,87.98,2020-07-12,SaaS,Mobile,28,Female,Legacy
32,2020-09-10,161.7,2020-07-12,SaaS,Mobile,28,Female,Legacy
33,2020-11-23,362.98,2020-04-19,E-commerce,Web,55,Female,Legacy
33,2020-09-11,76.25,2020-04-19,E-commerce,Web,55,Female,Legacy
33,2021-02-10,150.72,2020-04-19,E-commerce,Web,55,Female,Legacy
34,2020-05-25,18.21,2020-04-12,E-commerce,Web,41,Male,Legacy
34,2020-12-18,51.6,2020-04-12,E-commerce,Web,41,Male,Legacy
34,2020-11-24,20.81,2020-04-12,E-commerce,Web,41,Male,Legacy
